time,open,high,low,close,tick_volume
2024-02-16 20:00:00,2013.36,2015.2,2011.11,2013.18,11117
2024-02-19 00:00:00,2014.52,2020.81,2011.31,2019.84,8235
2024-02-19 04:00:00,2019.84,2022.89,2018.3,2020.8,6532
2024-02-19 08:00:00,2020.8,2022.98,2019.1,2020.19,9652
2024-02-19 12:00:00,2020.18,2020.56,2016.03,2016.84,9671
2024-02-19 16:00:00,2016.91,2018.51,2013.26,2017.32,9270
2024-02-19 20:00:00,2017.3,2018.49,2016.93,2017.99,855
2024-02-20 00:00:00,2017.96,2019.26,2015.05,2017.01,5566
2024-02-20 04:00:00,2017.0,2019.77,2016.85,2018.53,5258
2024-02-20 08:00:00,2018.52,2025.16,2017.78,2024.06,13121
2024-02-20 12:00:00,2024.06,2030.81,2023.54,2030.06,18536
2024-02-20 16:00:00,2030.12,2030.91,2025.49,2028.72,24269
2024-02-20 20:00:00,2028.71,2028.96,2023.56,2024.23,9903
2024-02-21 00:00:00,2024.21,2026.14,2022.98,2025.42,4816
2024-02-21 04:00:00,2025.42,2032.27,2025.38,2030.99,7020
2024-02-21 08:00:00,2031.02,2031.23,2025.96,2028.12,10982
2024-02-21 12:00:00,2028.1,2031.54,2027.4,2028.76,14207
2024-02-21 16:00:00,2028.76,2030.35,2021.52,2024.24,21879
2024-02-21 20:00:00,2024.36,2027.02,2020.07,2025.97,15647
2024-02-22 00:00:00,2025.81,2028.59,2025.11,2027.08,5597
2024-02-22 04:00:00,2027.06,2030.06,2025.57,2028.46,6142
2024-02-22 08:00:00,2028.46,2034.81,2028.37,2030.31,14491
2024-02-22 12:00:00,2030.31,2031.22,2023.03,2025.69,17421
2024-02-22 16:00:00,2025.69,2026.78,2019.78,2022.99,26269
2024-02-22 20:00:00,2023.0,2025.09,2019.66,2024.27,11194
2024-02-23 00:00:00,2024.27,2027.21,2022.8,2026.92,5080
2024-02-23 04:00:00,2026.93,2027.46,2022.24,2022.48,5074
2024-02-23 08:00:00,2022.47,2022.67,2016.08,2016.78,12027
2024-02-23 12:00:00,2016.8,2029.25,2016.61,2025.4,17977
2024-02-23 16:00:00,2025.35,2039.83,2024.18,2037.93,25353
2024-02-23 20:00:00,2037.94,2041.34,2035.16,2035.52,10368
2024-02-26 00:00:00,2034.82,2035.0,2029.95,2031.29,6282
2024-02-26 04:00:00,2031.27,2034.25,2030.7,2033.06,5727
2024-02-26 08:00:00,2033.06,2037.04,2031.88,2033.12,11607
2024-02-26 12:00:00,2033.1,2035.46,2030.78,2032.69,15783
2024-02-26 16:00:00,2032.68,2032.94,2025.1,2028.73,20767
2024-02-26 20:00:00,2028.73,2033.66,2028.16,2031.16,9893
2024-02-27 00:00:00,2031.14,2033.81,2030.71,2033.63,3990
2024-02-27 04:00:00,2033.68,2034.59,2032.35,2033.68,4431
2024-02-27 08:00:00,2033.68,2039.48,2033.28,2036.65,10190
2024-02-27 12:00:00,2036.68,2039.13,2034.67,2035.47,14513
2024-02-27 16:00:00,2035.47,2037.02,2029.82,2032.31,21334
2024-02-27 20:00:00,2032.31,2036.14,2028.81,2030.38,9115
2024-02-28 00:00:00,2030.59,2033.76,2029.2,2033.47,4149
2024-02-28 04:00:00,2033.44,2033.64,2029.84,2030.99,4750
2024-02-28 08:00:00,2031.0,2032.13,2024.92,2024.92,10756
2024-02-28 12:00:00,2024.94,2036.13,2024.49,2035.86,16171
2024-02-28 16:00:00,2035.88,2037.9,2030.5,2033.85,20073
2024-02-28 20:00:00,2033.85,2035.29,2030.88,2034.37,8157
2024-02-29 00:00:00,2034.14,2036.55,2033.95,2036.5,4048
2024-02-29 04:00:00,2036.52,2037.1,2034.46,2035.67,5803
2024-02-29 08:00:00,2035.67,2037.85,2034.08,2034.63,11408
2024-02-29 12:00:00,2034.62,2048.71,2028.11,2047.67,19243
2024-02-29 16:00:00,2047.67,2050.74,2043.34,2045.72,26036
2024-02-29 20:00:00,2045.65,2046.91,2042.88,2044.12,9579
2024-03-01 00:00:00,2043.69,2044.74,2042.87,2044.36,4976
2024-03-01 04:00:00,2044.36,2046.87,2043.46,2045.1,5555
2024-03-01 08:00:00,2045.12,2048.88,2039.1,2046.46,14842
2024-03-01 12:00:00,2046.45,2057.51,2045.98,2051.63,20814
2024-03-01 16:00:00,2051.65,2085.7,2045.66,2084.84,34316
2024-03-01 20:00:00,2084.84,2088.35,2082.28,2083.26,13531
2024-03-04 00:00:00,2082.5,2086.28,2079.51,2080.25,8359
2024-03-04 04:00:00,2080.23,2083.49,2079.91,2081.57,6279
2024-03-04 08:00:00,2081.57,2088.3,2081.12,2085.2,14014
2024-03-04 12:00:00,2085.21,2093.23,2081.22,2091.65,16018
2024-03-04 16:00:00,2091.74,2119.92,2090.55,2116.52,33503
2024-03-04 20:00:00,2116.52,2118.54,2113.35,2114.27,11136
2024-03-05 00:00:00,2114.77,2116.87,2110.51,2112.69,7072
2024-03-05 04:00:00,2112.69,2119.77,2111.29,2119.33,8456
2024-03-05 08:00:00,2119.32,2125.28,2114.01,2124.56,15937
2024-03-05 12:00:00,2124.56,2141.82,2121.22,2127.78,21892
2024-03-05 16:00:00,2128.03,2139.6,2123.73,2130.95,31911
2024-03-05 20:00:00,2130.94,2134.76,2127.14,2127.84,11547
2024-03-06 00:00:00,2128.01,2128.52,2125.17,2125.52,5928
2024-03-06 04:00:00,2125.49,2128.01,2123.73,2125.35,7070
2024-03-06 08:00:00,2125.39,2131.58,2124.36,2128.71,13984
2024-03-06 12:00:00,2128.71,2139.69,2124.71,2139.46,20539
2024-03-06 16:00:00,2139.54,2150.05,2132.0,2144.84,35334
2024-03-06 20:00:00,2144.84,2152.23,2139.52,2148.03,16699
2024-03-07 00:00:00,2148.85,2151.38,2144.22,2146.22,9273
2024-03-07 04:00:00,2146.23,2161.38,2145.7,2154.54,14132
2024-03-07 08:00:00,2154.46,2159.84,2151.59,2157.74,17985
2024-03-07 12:00:00,2157.74,2164.74,2153.32,2159.59,19404
2024-03-07 16:00:00,2159.58,2159.8,2148.01,2158.28,27166
2024-03-07 20:00:00,2158.29,2160.9,2156.15,2159.93,9578
2024-03-08 00:00:00,2159.63,2163.61,2157.74,2157.92,6895
2024-03-08 04:00:00,2157.85,2159.31,2154.02,2157.79,7984
2024-03-08 08:00:00,2157.79,2171.09,2156.53,2169.1,17531
2024-03-08 12:00:00,2169.02,2185.44,2156.68,2171.19,20418
2024-03-08 16:00:00,2171.18,2195.19,2163.78,2185.03,37347
2024-03-08 20:00:00,2185.03,2185.05,2168.32,2178.55,18478
2024-03-11 00:00:00,2179.77,2189.01,2177.24,2186.71,10733
2024-03-11 04:00:00,2186.73,2186.8,2176.89,2180.73,16733
2024-03-11 08:00:00,2180.73,2183.13,2176.76,2177.45,17483
2024-03-11 12:00:00,2177.45,2181.55,2175.9,2177.22,19766
2024-03-11 16:00:00,2177.22,2185.73,2174.88,2180.84,32685
2024-03-11 20:00:00,2180.84,2184.19,2177.21,2182.65,12882
2024-03-12 00:00:00,2182.44,2184.79,2180.31,2180.47,6692
2024-03-12 04:00:00,2180.47,2183.13,2176.82,2178.26,11838
2024-03-12 08:00:00,2178.26,2179.21,2173.75,2177.85,17151
2024-03-12 12:00:00,2177.86,2182.07,2161.3,2169.84,27808
2024-03-12 16:00:00,2169.8,2169.95,2152.65,2165.84,44593
2024-03-12 20:00:00,2165.84,2165.84,2150.66,2158.13,18104
2024-03-13 00:00:00,2157.94,2161.46,2155.82,2159.31,8949
2024-03-13 04:00:00,2159.31,2161.56,2157.28,2159.37,10813
